category,title,author,reply_count,content_preview,post_url,crawl_time
水帖/闲聊,应要求建立官方水楼,昵称挂了,13487,Boboyu239: 3 2024-4-16 08:39回复...还有118条回复...,https://tieba.baidu.com/p/8973693740,2026-01-19 23:39:58
水帖/闲聊,问一下在校未回家的吧友有无想玩剧本杀的,故障亚蓝人,0,如题，和我哥们最近想玩但是凑不齐人...,https://tieba.baidu.com/p/10412325687,2026-01-19 23:40:49
学术/学习,偌大的🥚吧，居然没有一条经验贴,很认真的...,9745,Boboyu239: 3 2023-12-4 07:53回复...还有71条回复...,https://tieba.baidu.com/p/8605625811,2026-01-19 23:42:00
校园讨论/吐槽,简单发表暴论,伊莎玛拉...,11,现在因为学历贬值，大学只分三档...,https://tieba.baidu.com/p/10401125738,2026-01-19 23:42:31
水帖/闲聊,12345,花灯花灯花,5,黄牌子了，庆祝一下 可以撑地了哈哈,https://tieba.baidu.com/p/10340773338,2026-01-19 23:44:02
学术/学习,数学分析陈纪修,hg,1,求数学分析陈纪修课后习题讲解视频或者手写过程。,https://tieba.baidu.com/p/10408266385,2026-01-19 23:44:12
水帖/闲聊,woc挂科了,伊莎玛拉...,9,家人们，三个月前选修了贴吧水贴工程与技术课...,https://tieba.baidu.com/p/10406699255,2026-01-19 23:44:22
水帖/闲聊,为什么复旦没有求助水楼,马铃薯炖...,538,【新】旦吧大水楼—泄洪请进,https://tieba.baidu.com/p/8907875726,2026-01-19 23:44:52
个人情感/故事,我是一名民间科学家,傅里叶灵梦,7,我是一名民间科学家 我高考发挥失常...,https://tieba.baidu.com/p/10407856869,2026-01-19 23:45:29
个人情感/故事,新年第一次航班,厉不厉害...,5,哥们你4了吗，怎么点不开主页啊,https://tieba.baidu.com/p/10357660441,2026-01-19 23:45:44
校园讨论/吐槽,完蛋了！！,蛋吧梁朝偉,27,泥🥚211都不是了 点击展开...,https://tieba.baidu.com/p/10359731679,2026-01-19 23:45:59
水帖/闲聊,人呢你们人呢,五个火枪手,1,🥚吧还有人类吗，人都去哪了,https://tieba.baidu.com/p/10407645586,2026-01-19 23:46:14
校园生活/服务,同学们，是这样,五个火枪手,5,最近我们收到不少同学反对"假期时长过短...",https://tieba.baidu.com/p/10404694155,2026-01-19 23:46:30
校园生活/服务,邯郸校区有没有人需要取快递,你明明心...,0,放寒假了，有没有人快递寄错或者需要跑腿的...,https://tieba.baidu.com/p/10408183060,2026-01-19 23:46:47
水帖/闲聊,标题五个字,小慈老师w...,8,寒假的贴吧好冷清啊 都没人水贴了...,https://tieba.baidu.com/p/10400173063,2026-01-19 23:47:03
职业/就业,大一来发问,freelll111,4,环境科学与工程专业 本人想去企业...,https://tieba.baidu.com/p/10397071104,2026-01-19 23:47:18
水帖/闲聊,理性分析：Gary是否有破圈的可能？,八太空,24,自从Gary哥那一条树洞起，全旦都蔓延起了roll...,https://tieba.baidu.com/p/10376171418,2026-01-19 23:47:33
校园生活/服务,问问大家在宿舍怎么起飞,Ayaenbiv,27,rt，小登来🥚🧱之后已经没有办法随性起飞...,https://tieba.baidu.com/p/10342890428,2026-01-19 23:47:50
内容缺失,找以前的同学,欧布智勇...,0,无法提取内容,https://tieba.baidu.com/p/10405811811,2026-01-19 23:48:05
个人情感/故事,我的人生怎么办😭,五个火枪手,1,眼看毛概要挂了 鼓起勇气给老师发了求捞的信息...,https://tieba.baidu.com/p/10404703021,2026-01-19 23:48:21
个人情感/故事,啊啊啊啊啊啊终于和女神奔现了,蛋吧梁朝偉,11,人果然和大家说的一样娇小可爱 很瓷实,https://tieba.baidu.com/p/10360718955,2026-01-19 23:48:36
学术/学习,求问万能的吧u,wfggdg,1,西方美术这b课不会真0/10开吧...,https://tieba.baidu.com/p/8781955009,2026-01-19 23:48:51
学术/学习,求助各位大佬！恒温箱温度一直高于预设温度...,贴吧用户_...,0,我们的种子培养要求25摄氏度，我们设置好了恒温箱后...,https://tieba.baidu.com/p/10402936592,2026-01-19 23:49:28
个人情感/故事,我恨复旦大学,风尘月影s...,5,之前有个复旦大学的人，想和我约...,https://tieba.baidu.com/p/10182341745,2026-01-19 23:49:45
水帖/闲聊,12345,小慈老师w...,18,一点都不靠谱 我辛辛苦苦早晚蹲守，都没看到野战的,https://tieba.baidu.com/p/10322154907,2026-01-19 23:50:22
个人情感/故事,我是一个自不量力的复读生,黄桃仙人1...,2,梦见在六中的芦苇荡旁边 天色昏暗 我骑着电车子...,https://tieba.baidu.com/p/10369665813,2026-01-19 23:50:38
学术/学习,啊想拿初会证 谁能帮我考 aaa🙃🙃🙃🙃,Suiyi,1,谁当下我老师辅导下我呗,https://tieba.baidu.com/p/10399574255,2026-01-19 23:50:55
内容缺失,魔 女 因 子,小慈老师w...,8,reference : 点击展开，查看完整图片,https://tieba.baidu.com/p/10368653511,2026-01-19 23:51:12
内容缺失,倪丹有这种故事吗,五个火枪手,2,rt 点击展开，查看完整图片,https://tieba.baidu.com/p/10381621604,2026-01-19 23:51:28
